/Users/runner/Library/Developer/Xcode/DerivedData/Familienplaner-dmcrrzfthkjbwogvslwbznxtcpok/Build/Products/Debug-iphonesimulator/Familienplaner.app/Familienplaner:
ID Name                                                                                                 # Functions Coverage          
-- ---------------------------------------------------------------------------------------------------- ----------- ----------------- 
0  /Users/runner/work/familienplaner/familienplaner/Sources/App/FamilienplanerApp.swift                 20          82.27% (116/141)  
1  /Users/runner/work/familienplaner/familienplaner/Sources/Calendar/CalendarImportService.swift        78          5.33% (18/338)    
2  /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/PersistenceController.swift     21          62.50% (85/136)   
3  /Users/runner/work/familienplaner/familienplaner/Sources/Features/Search/SearchScreen.swift          34          90.37% (197/218)  
4  /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/Domain.swift                    10          61.76% (21/34)    
5  /Users/runner/work/familienplaner/familienplaner/Sources/App/BackgroundSync.swift                    12          20.97% (13/62)    
6  /Users/runner/work/familienplaner/familienplaner/Sources/Reminders/ReminderSettingsScreen.swift      31          2.45% (4/163)     
7  /Users/runner/work/familienplaner/familienplaner/Sources/Features/Today/TodayScreen.swift            129         90.36% (862/954)  
8  /Users/runner/work/familienplaner/familienplaner/Sources/Features/Events/EventEditorSheet.swift      131         90.60% (906/1000) 
9  /Users/runner/work/familienplaner/familienplaner/Sources/App/TestMode.swift                          4           100.00% (11/11)   
10 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Setup/SetupScreen.swift            19          98.28% (171/174)  
11 /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/EventService.swift              41          92.42% (195/211)  
12 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Members/CurrentMember.swift        15          80.00% (24/30)    
13 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Week/WeekTimelineView.swift        79          84.91% (439/517)  
14 /Users/runner/work/familienplaner/familienplaner/Sources/Sharing/ShareAcceptance.swift               12          29.41% (15/51)    
15 /Users/runner/work/familienplaner/familienplaner/Shared/WatchSnapshot.swift                          1           100.00% (1/1)     
16 /Users/runner/work/familienplaner/familienplaner/Sources/Sharing/SharingService.swift                20          8.45% (6/71)      
17 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Members/MembersScreen.swift        120         76.25% (777/1019) 
18 /Users/runner/work/familienplaner/familienplaner/Sources/Reminders/ReminderService.swift             35          12.50% (18/144)   
19 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Today/DayTimelineView.swift        100         93.25% (594/637)  
20 /Users/runner/work/familienplaner/familienplaner/Sources/Suggestions/SuggestionExtractor.swift       26          40.00% (68/170)   
21 /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/HouseholdService.swift          11          97.73% (86/88)    
22 /Users/runner/work/familienplaner/familienplaner/Sources/Watch/WatchSyncService.swift                31          25.79% (41/159)   
23 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Debug/SampleData.swift             6           0.00% (0/67)      
24 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Today/ResponsibilitiesSheet.swift  36          92.52% (272/294)  
25 /Users/runner/work/familienplaner/familienplaner/Sources/Suggestions/SuggestionService.swift         13          6.67% (6/90)      
26 /Users/runner/work/familienplaner/familienplaner/Sources/Suggestions/SuggestionReviewScreen.swift    64          0.00% (0/519)     
27 /Users/runner/work/familienplaner/familienplaner/Sources/Calendar/CalendarSourcesScreen.swift        32          0.00% (0/219)     
28 /Users/runner/work/familienplaner/familienplaner/Sources/DesignSystem/Theme.swift                    17          91.49% (43/47)    
29 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Events/EventPresentation.swift     9           92.59% (25/27)    
30 /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/SeriesService.swift             61          94.21% (293/311)  
31 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Events/EventDetailSheet.swift      34          0.00% (0/247)     
32 /Users/runner/work/familienplaner/familienplaner/Sources/Persistence/DeviceRegistrationService.swift 2           100.00% (23/23)   
33 /Users/runner/work/familienplaner/familienplaner/Sources/Features/Members/MemberFilterBar.swift      18          81.51% (97/119)   


